,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
MEZA SEBASTIAN,33,?,0,GENSON MARCELO ARIEL (49),1375.09,2,12,TANDIL (BA),0.00,0.00,0.00,39,,,,,,,,,,,,,,,,,,,,0
AGUIRRE SEBASTIAN,34,?,0,OLMEDO SEBASTIAN (43),1292.38,2,15,CAÑADA DE GOMEZ (SF),49.43,0.00,47.17,30,,,,,,,,,,,,,,,,,,,,0
GONZALEZ CLAUDIO,35,?,0,COUFFIGNAL RAMIRO (42),1279.46,4,15,TRENQUE LAUQUEN (BA),38.49,0.00,32.58,41,,,,,,,,,,,,,,,,,,,,0
AGUIRREZABALA ALBERTO,36,?,0,FERNANDEZ PABLO JAVIER (51),1261.45,5,14,TANDIL (BA),0.00,0.00,0.00,44,,,,,,,,,,,,,,,,,,,,0
WASINGER DAMIAN,37,?,0,FERNANDEZ DANIEL (39),1246.62,3,14,BAHIA BLANCA (BA),0.00,45.48,0.00,31,,,,,,,,,,,,,,,,,,,,0
BARRA ELCO DANIEL,38,?,0,POLO LUCAS (36),1224.80,4,15,LA PLATA (BA),33.83,0.00,0.00,59,,,,,,,,,,,,,,,,,,,,0
POLO LUCAS,39,?,0,CASONI ALBANO (42),1214.41,5,15,BIGAND  (SF),35.41,0.00,32.58,32,,,,,,,,,,,,,,,,,,,,0
REVELANTE FABIO,40,?,0,ULLUA SERGIO JAVIER (45),1212.93,3,15,CORONEL PRINGLES (BA),31.09,0.00,25.37,38,,,,,,,,,,,,,,,,,,,,0
MORETTO JUAN PABLO,41,?,0,ALVAREZ FACUNDO MARTIN (46),1203.67,4,8,MACACHIN (LP),0.00,0.00,0.00,56,,,,,,,,,,,,,,,,,,,,0
COUFFIGNAL RAMIRO,42,?,0,GARCIA EZEQUIEL (40),1201.41,3,8,MACACHIN (LP),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
ZELAYA LEONARDO,43,?,0,JOFRE PABLO MARTIN (42),1195.73,4,15,BAHIA BLANCA (BA),41.84,0.00,38.49,37,,,,,,,,,,,,,,,,,,,,0
